casa_id,timestamp,consumo_kwh,coste_euros
35,2017-05-30 01:00:00,0.1,0.014869
35,2017-05-30 02:00:00,0.084,0.01172472
35,2017-05-30 03:00:00,0.085,0.0114563
35,2017-05-30 04:00:00,0.088,0.01288232
35,2017-05-30 05:00:00,0.085,0.0136816
35,2017-05-30 06:00:00,0.084,0.01623132
35,2017-05-30 07:00:00,0.083,0.0208164
35,2017-05-30 08:00:00,0.828,0.15022404
35,2017-05-30 09:00:00,0.967,0.195334
35,2017-05-30 10:00:00,0.515,0.090331
35,2017-05-30 11:00:00,0.223,0.03654524
35,2017-05-30 12:00:00,0.079,0.01320011
35,2017-05-30 13:00:00,0.076,0.00684152
35,2017-05-30 14:00:00,0.27,0.0244836
35,2017-05-30 15:00:00,0.22,0.0230736
35,2017-05-30 16:00:00,0.145,0.02371475
35,2017-05-30 17:00:00,0.24,0.0699552
35,2017-05-30 18:00:00,0.229,0.07582419
35,2017-05-30 19:00:00,0.169,0.05229198
35,2017-05-30 20:00:00,0.083,0.0233728
35,2017-05-30 21:00:00,0.355,0.07374415
35,2017-05-30 22:00:00,0.585,0.11416275
35,2017-05-30 23:00:00,0.615,0.0975759
35,2017-05-31 00:00:00,0.263,0.04159871
35,2017-05-31 01:00:00,0.085,0.01263865
35,2017-05-31 02:00:00,0.089,0.01242262
35,2017-05-31 03:00:00,0.089,0.01199542
35,2017-05-31 04:00:00,0.083,0.01215037
35,2017-05-31 05:00:00,0.085,0.0136816
35,2017-05-31 06:00:00,0.082,0.01584486
35,2017-05-31 07:00:00,0.18,0.045144
35,2017-05-31 08:00:00,0.486,0.08817498
35,2017-05-31 09:00:00,0.246,0.049692
35,2017-05-31 10:00:00,0.142,0.0249067999999999
35,2017-05-31 11:00:00,0.141,0.02310708
35,2017-05-31 12:00:00,0.1,0.016709
35,2017-05-31 13:00:00,0.081,0.00729162
35,2017-05-31 14:00:00,0.096,0.00870528
35,2017-05-31 15:00:00,0.276,0.02894688
35,2017-05-31 16:00:00,0.166,0.0271493
35,2017-05-31 17:00:00,0.166,0.04838568
35,2017-05-31 18:00:00,0.509,0.16853499
35,2017-05-31 19:00:00,0.212,0.06559704
35,2017-05-31 20:00:00,0.232,0.0653312
35,2017-05-31 21:00:00,0.54,0.1121742
35,2017-05-31 22:00:00,1.101,0.21486015
35,2017-05-31 23:00:00,0.453,0.07187298
35,2017-06-01 00:00:00,0.296,0.0468183199999999
35,2017-06-01 01:00:00,0.085,0.01263865
35,2017-06-01 02:00:00,0.084,0.01172472
35,2017-06-01 03:00:00,0.083,0.01118674
35,2017-06-01 04:00:00,0.081,0.01185759
35,2017-06-01 05:00:00,0.086,0.01384256
35,2017-06-01 06:00:00,0.092,0.0177771599999999
35,2017-06-01 07:00:00,0.082,0.0205656
35,2017-06-01 08:00:00,0.547,0.09924221
