día,baseline,modelo,penalizaciones,solar
1 - 2017-12-12,1.5691996536070498,-0.16393399772896444,30.0,12.882
2 - 2017-12-13,1.6616237516360872,-0.09456127001363523,10.0,12.451
3 - 2017-12-14,1.6836901881669082,0.2265544807422042,10.0,11.899
4 - 2017-12-15,2.0648062594168213,-0.9656439601293609,30.0,13.350999999999997
5 - 2017-12-16,2.262957404622929,-0.47633067120091394,0.0,12.308999999999997
6 - 2017-12-17,1.1161829287691636,-0.41646560389829246,30.0,11.764
7 - 2017-12-18,1.6578211422942382,0.3980681689804141,10.0,13.076
8 - 2017-12-19,1.5900234674771747,-0.41160552250540644,40.0,11.751999999999999
9 - 2017-12-20,1.4486855389928626,-0.2611959613065178,20.0,11.784999999999998
10 - 2017-12-21,2.0747282474185864,-0.2709179860841654,30.0,12.247999999999998
11 - 2017-12-22,1.335467849668494,-0.4510918364141283,20.0,11.94
12 - 2017-12-23,1.2738583362547224,-0.5625866222603456,20.0,12.051
13 - 2017-12-24,2.3386149563822562,-0.2495616496036121,0.0,11.74
14 - 2017-12-25,1.5654147932970977,-0.9407408856200916,0.0,12.850999999999999
15 - 2017-12-26,0.8259179807005714,-1.4171738277830597,0.0,12.812999999999999
16 - 2017-12-27,1.691390584480637,0.2072357039874974,10.0,13.065
17 - 2017-12-28,1.6736725575849734,-0.9251060282984768,30.0,12.449
18 - 2017-12-29,1.8168150781864674,0.18149259144368068,40.0,12.722999999999999
19 - 2017-12-30,2.1221036320391584,-2.260455599596227,30.0,13.144999999999998
20 - 2017-12-31,1.7537006281712846,0.27811647313582316,40.0,13.187999999999997
21 - 2018-01-01,1.4962332597308492,-0.9611071724078021,0.0,12.223999999999998
22 - 2018-01-02,1.1823046854821246,-2.0980202786277453,10.0,12.780000000000001
23 - 2018-01-03,1.502726634644768,-1.0252023294174153,20.0,12.83
24 - 2018-01-04,1.6913595006546356,-1.81921006397262,20.0,13.043999999999999
25 - 2018-01-05,1.3113286392520282,-2.866484000020608,0.0,11.715
26 - 2018-01-06,1.911497466255605,-0.17233364400431006,30.0,13.001
27 - 2018-01-07,1.1465324746727905,-1.572031449564782,10.0,12.283999999999999
28 - 2018-01-08,1.8989631480533549,-0.5981382883993055,30.0,11.043
29 - 2018-01-09,1.8174167318059884,-0.36597079912293173,40.0,13.036999999999999
