día,fecha,hora,precio_real,consumo_real,solar,consumo_neto,energia_desechada,accion,costo_hora,nivel_bateria,baseline,modelo,ahorro
1,2017-12-11,0,0.1519397163308281,0.327,0.0,0.327,0.0,Comprar 3.00kWh,0.45581914899248427,2.673,0.049684287240180786,0.45581914899248427,-0.4061348617523035
1,2017-12-11,1,0.1432038489661252,0.18,0.0,0.18,0.0,Comprar 3.00kWh,0.4296115468983756,5.479635,0.025776692813902536,0.4296115468983756,-0.40383485408447306
1,2017-12-11,2,0.1386075562534929,0.138,0.0,0.138,0.0,Comprar 3.00kWh,0.4158226687604787,8.314236825,0.01912784276298202,0.4158226687604787,-0.39669482599749667
1,2017-12-11,3,0.1518179753217562,0.137,0.0,0.137,0.0,Hold,0.0,8.135665640874999,0.0207990626190806,0.0,0.0207990626190806
1,2017-12-11,4,0.1660867756980562,0.135,0.0,0.135,0.0,Comprar 1.91kWh,0.31639741490242546,9.865,0.02242171471923759,0.31639741490242546,-0.29397570018318786
1,2017-12-11,5,0.1975365640190687,0.147,0.0,0.147,0.0,Comprar (penalizado),10.0,9.668675,0.029037874910803094,10.0,-9.970962125089198
1,2017-12-11,6,0.2654537523176203,0.149,0.466,0.0,0.0,Vender 9.94kWh,-2.637481223683382,0.0,0.039552609095325424,-2.637481223683382,2.677033832778707
1,2017-12-11,7,0.1923343086194179,0.173,0.829,0.0,0.0,Hold,0.0,0.65272,0.033273835391159294,0.0,0.033273835391159294
1,2017-12-11,8,0.2141604607449595,0.407,1.232,0.0,0.0,Vender 1.47kWh,-0.3148868500717813,0.0,0.08716330752319851,-0.3148868500717813,0.4020501575949798
1,2017-12-11,9,0.1844231824463218,1.133,1.559,0.0,0.0,Comprar 3.00kWh,0.5532695473389654,3.42387,0.2089514657116826,0.5532695473389654,-0.3443180816272828
1,2017-12-11,10,0.1745258704803684,1.29,1.696,0.0,0.0,Comprar 3.00kWh,0.5235776114411053,6.8107206499999995,0.22513837291967526,0.5235776114411053,-0.29843923852143
1,2017-12-11,11,0.1766378627766722,0.25,1.709,0.0,0.0,Comprar 1.77kWh,0.3129365752974902,10.0,0.04415946569416805,0.3129365752974902,-0.26877710960332213
1,2017-12-11,12,0.0961200368345948,0.397,1.406,0.0,1.009,Comprar 0.05kWh,0.004806001841729808,10.0,0.038159654623334135,0.004806001841729808,0.03335365278160433
1,2017-12-11,13,0.094968191665039,0.295,1.559,0.0,1.264,Vender 9.95kWh,-0.944933507067138,0.0,0.028015616541186505,-0.944933507067138,0.9729491236083245
1,2017-12-11,14,0.110011366297755,0.302,0.952,0.0,0.0,Comprar 3.00kWh,0.330034098893265,3.64675,0.03322343262192201,0.330034098893265,-0.296810666271343
1,2017-12-11,15,0.1725820989379376,0.454,0.815,0.0,0.0,Comprar 3.00kWh,0.5177462968138128,6.98771125,0.07835227291782368,0.5177462968138128,-0.43939402389598914
1,2017-12-11,16,0.3077431407727589,0.238,0.449,0.0,0.0,Hold,0.0,7.16271769375,0.0732428675039166,0.0,0.0732428675039166
1,2017-12-11,17,0.3473369930539064,0.16,0.0,0.16,0.0,Vender 7.13kWh,-2.4198635228233054,0.0,0.05557391888862503,-2.4198635228233054,2.4754374417119305
1,2017-12-11,18,0.3217748962022138,0.099,0.0,0.099,0.0,Acción no válida,0.031855714724019164,0.0,0.031855714724019164,0.031855714724019164,0.0
1,2017-12-11,19,0.290353204852856,0.444,0.0,0.444,0.0,Acción no válida,0.12891682295466805,0.0,0.12891682295466805,0.12891682295466805,0.0
1,2017-12-11,20,0.2121346809436332,0.569,0.0,0.569,0.0,Comprar (penalizado),10.120704633456928,0.0,0.12070463345692728,10.120704633456928,-10.0
1,2017-12-11,21,0.1986365332795196,0.309,0.0,0.309,0.0,Acción no válida,0.061378688783371556,0.0,0.061378688783371556,0.061378688783371556,0.0
1,2017-12-11,22,0.1601854250723897,0.45,0.0,0.45,0.0,Hold,0.07208344128257536,0.0,0.07208344128257536,0.07208344128257536,0.0
1,2017-12-12,23,0.1613865829821399,0.264,0.0,0.264,0.0,Comprar 3.00kWh,0.48415974894641967,2.7359999999999998,0.04260605790728494,0.48415974894641967,-0.4415536910391347
2,2017-12-12,0,0.1508650861970308,0.331,0.0,0.331,0.0,Comprar 3.00kWh,0.4525952585910924,5.3913199999999994,0.049936343531217196,0.4525952585910924,-0.4026589150598752
2,2017-12-12,1,0.144186999133395,0.125,0.0,0.125,0.0,Vender 5.36kWh,-0.7554480860153414,0.0,0.018023374891674375,-0.7554480860153414,0.7734714609070158
2,2017-12-12,2,0.1391182635420639,0.097,0.0,0.097,0.0,Acción no válida,0.0134944715635802,0.0,0.0134944715635802,0.0134944715635802,0.0
2,2017-12-12,3,0.1524338879496651,0.096,0.0,0.096,0.0,Comprar 3.00kWh,0.4573016638489953,2.904,0.014633653243167849,0.4573016638489953,-0.44266801060582744
2,2017-12-12,4,0.169183386393179,0.095,0.0,0.095,0.0,Comprar 3.00kWh,0.507550159179537,5.79448,0.016072421707352007,0.507550159179537,-0.49147773747218504
2,2017-12-12,5,0.1995234030521789,0.094,0.0,0.094,0.0,Hold,0.0,5.6715076,0.018755199886904817,0.0,0.018755199886904817
2,2017-12-12,6,0.263673592984311,0.089,0.466,0.0,0.0,Comprar (penalizado),10.0,6.018265061999999,0.023466949775603676,10.0,-9.976533050224397
2,2017-12-12,7,0.1909102297552137,0.093,0.81,0.0,0.0,Comprar 3.00kWh,0.5727306892656412,9.701588736689999,0.017754651367234874,0.5727306892656412,-0.5549760378984063
2,2017-12-12,8,0.216432266941382,0.662,1.219,0.0,0.25858873668999893,Hold,0.0,9.95,0.1432781607151949,0.0,0.1432781607151949
2,2017-12-12,9,0.1878703720524459,1.11,1.559,0.0,0.39899999999999913,Comprar 0.05kWh,0.009393518602622428,10.0,0.20853611297821495,0.009393518602622428,0.1991425943755925
2,2017-12-12,10,0.1724066947820562,0.611,1.739,0.0,1.1280000000000001,Hold,0.0,9.95,0.10534049051183633,0.0,0.10534049051183633
2,2017-12-12,11,0.1739545362906957,0.444,1.8,0.0,1.3059999999999994,Hold,0.0,9.95,0.0772358141130689,0.0,0.0772358141130689
2,2017-12-12,12,0.0950262058250468,1.599,1.73,0.0,0.0809999999999993,Hold,0.0,9.95,0.15194690311424983,0.0,0.15194690311424983
2,2017-12-12,13,0.0929557795734944,0.607,1.559,0.0,0.9019999999999992,Comprar 0.05kWh,0.004647788978674786,10.0,0.056424158201111095,0.004647788978674786,0.05177636922243631
2,2017-12-12,14,0.1095800230368532,0.554,1.273,0.0,0.7189999999999999,Vender 9.95kWh,-1.0903212292166893,0.0,0.06070733276241668,-1.0903212292166893,1.1510285619791059
