día,hora,precio_real,consumo_real,costo_accion_energia,costo_accion_penalizacion,costo_consumo,bateria_restante,accion,baseline,modelo,ahorro
1,0,0.1519397163308281,0.327,0.0,0.0,0.049684287240180786,0.0,Intento de vender (batería vacía),0.049684287240180786,0.049684287240180786,0.0
1,1,0.1432038489661252,0.18,0.0,0.0,0.025776692813902536,0.0,Hold,0.025776692813902536,0.025776692813902536,0.0
1,2,0.1386075562534929,0.138,0.4158226687604787,0.0,0.0,2.862,Comprar 3.00 kWh,0.01912784276298202,0.4158226687604787,-0.39669482599749667
1,3,0.1518179753217562,0.137,0.45545392596526857,0.0,0.0,5.71069,Comprar 3.00 kWh,0.0207990626190806,0.45545392596526857,-0.43465486334618797
1,4,0.1660867756980562,0.135,-0.9437277386655767,0.0,0.02242171471923759,0.0,Vender batería completa,0.02242171471923759,-0.9213060239463391,0.9437277386655767
1,5,0.1975365640190687,0.147,0.0,10.0,0.029037874910803094,0.0,Intento de comprar sin perspectiva de beneficio,0.029037874910803094,10.029037874910802,-10.0
1,6,0.2654537523176203,0.149,0.0,0.0,0.039552609095325424,0.0,Hold,0.039552609095325424,0.039552609095325424,0.0
1,7,0.1923343086194179,0.173,0.0,0.0,0.033273835391159294,0.0,Intento de vender (batería vacía),0.033273835391159294,0.033273835391159294,0.0
1,8,0.2141604607449595,0.407,0.0,0.0,0.08716330752319851,0.0,Intento de vender (batería vacía),0.08716330752319851,0.08716330752319851,0.0
1,9,0.1844231824463218,1.133,0.5532695473389654,0.0,0.0,1.867,Comprar 3.00 kWh,0.2089514657116826,0.5532695473389654,-0.3443180816272828
1,10,0.1745258704803684,1.29,0.5235776114411053,0.0,0.0,3.567665,Comprar 3.00 kWh,0.22513837291967526,0.5235776114411053,-0.29843923852143
1,11,0.1766378627766722,0.25,0.0,0.0,0.0,3.299826675,Hold,0.04415946569416805,0.0,0.04415946569416805
1,12,0.0961200368345948,0.397,0.2883601105037844,0.0,0.0,5.886327541625,Comprar 3.00 kWh,0.038159654623334135,0.2883601105037844,-0.25020045588045026
1,13,0.094968191665039,0.295,-0.5562188127653596,0.0,0.028015616541186505,0.0,Vender batería completa,0.028015616541186505,-0.5282031962241731,0.5562188127653596
1,14,0.110011366297755,0.302,0.0,0.0,0.03322343262192201,0.0,Intento de vender (batería vacía),0.03322343262192201,0.03322343262192201,0.0
1,15,0.1725820989379376,0.454,0.0,0.0,0.07835227291782368,0.0,Hold,0.07835227291782368,0.07835227291782368,0.0
1,16,0.3077431407727589,0.238,0.0,10.0,0.0732428675039166,0.0,Intento de comprar sin perspectiva de beneficio,0.0732428675039166,10.073242867503916,-10.0
1,17,0.3473369930539064,0.16,0.0,0.0,0.05557391888862503,0.0,Intento de vender (batería vacía),0.05557391888862503,0.05557391888862503,0.0
1,18,0.3217748962022138,0.099,0.0,10.0,0.031855714724019164,0.0,Intento de comprar sin perspectiva de beneficio,0.031855714724019164,10.031855714724019,-10.0
